network_countrycode,network_localid,network_name,network_namespace,network_timezone,pollutant,samplingpoint_localid,samplingpoint_namespace,samplingpoint_x,samplingpoint_y,coordsys,station_code,station_localid,station_name,station_namespace,value_datetime_begin,value_datetime_end,value_datetime_inserted,value_datetime_updated,value_numeric,value_validity,value_verification,station_altitude,value_unit
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0028A_00005_100,RS.SEPA.AQ,20.450184,44.798745999999994,EPSG:4979,RS0028A,STA-RS0028A,Belgrade-Mostar,RS.SEPA.AQ,2023-03-31 08:00:00+01:00,2023-03-31 09:00:00+01:00,2023-03-31 08:27:16+01:00,+01:00,19.69017,1,3,83,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0028A_00005_100,RS.SEPA.AQ,20.450184,44.798745999999994,EPSG:4979,RS0028A,STA-RS0028A,Belgrade-Mostar,RS.SEPA.AQ,2023-03-31 09:00:00+01:00,2023-03-31 10:00:00+01:00,2023-03-31 09:17:13+01:00,+01:00,27.602,1,3,83,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0028A_00005_100,RS.SEPA.AQ,20.450184,44.798745999999994,EPSG:4979,RS0028A,STA-RS0028A,Belgrade-Mostar,RS.SEPA.AQ,2023-03-31 10:00:00+01:00,2023-03-31 11:00:00+01:00,2023-03-31 10:17:01+01:00,+01:00,23.67483,1,3,83,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0029A_00005_100,RS.SEPA.AQ,19.819016,45.262626000000004,EPSG:4979,RS0029A,STA-RS0029A,Novi Sad-Rumenacka,RS.SEPA.AQ,2023-03-31 00:00:00+01:00,2023-03-31 01:00:00+01:00,2023-03-31 00:48:43+01:00,+01:00,18.26617,1,3,78,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0029A_00005_100,RS.SEPA.AQ,19.819016,45.262626000000004,EPSG:4979,RS0029A,STA-RS0029A,Novi Sad-Rumenacka,RS.SEPA.AQ,2023-03-31 01:00:00+01:00,2023-03-31 02:00:00+01:00,2023-03-31 01:23:03+01:00,+01:00,11.4,1,3,78,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0029A_00005_100,RS.SEPA.AQ,19.819016,45.262626000000004,EPSG:4979,RS0029A,STA-RS0029A,Novi Sad-Rumenacka,RS.SEPA.AQ,2023-03-31 02:00:00+01:00,2023-03-31 03:00:00+01:00,2023-03-31 02:17:24+01:00,+01:00,9.01317,1,3,78,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0029A_00005_100,RS.SEPA.AQ,19.819016,45.262626000000004,EPSG:4979,RS0029A,STA-RS0029A,Novi Sad-Rumenacka,RS.SEPA.AQ,2023-03-31 03:00:00+01:00,2023-03-31 04:00:00+01:00,2023-03-31 03:36:59+01:00,+01:00,8.757,1,3,78,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0029A_00005_100,RS.SEPA.AQ,19.819016,45.262626000000004,EPSG:4979,RS0029A,STA-RS0029A,Novi Sad-Rumenacka,RS.SEPA.AQ,2023-03-31 04:00:00+01:00,2023-03-31 05:00:00+01:00,2023-03-31 04:17:02+01:00,+01:00,6.93833,1,3,78,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0029A_00005_100,RS.SEPA.AQ,19.819016,45.262626000000004,EPSG:4979,RS0029A,STA-RS0029A,Novi Sad-Rumenacka,RS.SEPA.AQ,2023-03-31 05:00:00+01:00,2023-03-31 06:00:00+01:00,2023-03-31 05:37:27+01:00,+01:00,10.2865,1,3,78,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0029A_00005_100,RS.SEPA.AQ,19.819016,45.262626000000004,EPSG:4979,RS0029A,STA-RS0029A,Novi Sad-Rumenacka,RS.SEPA.AQ,2023-03-31 06:00:00+01:00,2023-03-31 07:00:00+01:00,2023-03-31 06:29:13+01:00,+01:00,14.88,1,3,78,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0029A_00005_100,RS.SEPA.AQ,19.819016,45.262626000000004,EPSG:4979,RS0029A,STA-RS0029A,Novi Sad-Rumenacka,RS.SEPA.AQ,2023-03-31 07:00:00+01:00,2023-03-31 08:00:00+01:00,2023-03-31 07:30:01+01:00,+01:00,20.40467,1,3,78,ug/m3
RS,NET-RS002A,Serbian national AQ network,RS.SEPA.AQ,http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC+01,PM10,SPO-RS0029A_00005_100,RS.SEPA.AQ,19.819016,45.262626000000004,EPSG:4979,RS0029A,STA-RS0029A,Novi Sad-Rumenacka,RS.SEPA.AQ,2023-03-31 08:00:00+01:00,2023-03-31 09:00:00+01:00,2023-03-31 08:27:16+01:00,+01:00,17.20333,1,3,78,ug/m3
