Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,96.0994800000,µg/m3,2023-01-01 00:00:00 +01:00,2023-01-01 01:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,90.2251700000,µg/m3,2023-01-01 01:00:00 +01:00,2023-01-01 02:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,87.9454200000,µg/m3,2023-01-01 02:00:00 +01:00,2023-01-01 03:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,40.7548300000,µg/m3,2023-01-01 03:00:00 +01:00,2023-01-01 04:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,31.8175000000,µg/m3,2023-01-01 04:00:00 +01:00,2023-01-01 05:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,31.8361100000,µg/m3,2023-01-01 05:00:00 +01:00,2023-01-01 06:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,38.0031000000,µg/m3,2023-01-01 06:00:00 +01:00,2023-01-01 07:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,40.2154400000,µg/m3,2023-01-01 07:00:00 +01:00,2023-01-01 08:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,43.7235600000,µg/m3,2023-01-01 08:00:00 +01:00,2023-01-01 09:00:00 +01:00,1,3
RS,RS.SEPA.AQ,NET-RS002A,STA-RS0029A,RS0029A,SPO-RS0029A_00005_100,SPP-RS_A_light-scat_GRIMM-EDM180,SPO_F-RS0029A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,41.7685000000,µg/m3,2023-01-01 09:00:00 +01:00,2023-01-01 10:00:00 +01:00,1,3
