spo_pol_id,filenames
SPO-RS0028A_00005_100,RS_5_44117_2023_timeseries.csv
SPO-RS0029A_00005_100,RS_5_44124_2023_timeseries.csv
SPO-RS0030A_00005_100,RS_5_44131_2023_timeseries.csv
SPO-RS0032A_00005_100,RS_5_44144_2023_timeseries.csv
SPO-RS0033A_00005_100,RS_5_70790_2023_timeseries.csv
SPO-RS0036A_00005_100,RS_5_44176_2023_timeseries.csv
SPO-RS0049A_00005_100,RS_5_70795_2023_timeseries.csv
SPO-RS0050A_00005_100,RS_5_70797_2023_timeseries.csv
SPO-RS0051A_00005_100,RS_5_70798_2023_timeseries.csv
SPO-RS0052A_00005_100,RS_5_70799_2023_timeseries.csv
SPO-RS0053A_00005_100,RS_5_70800_2023_timeseries.csv
SPO-RS0054A_00005_100,RS_5_70801_2023_timeseries.csv
SPO-RS0055A_00005_100,RS_5_70802_2023_timeseries.csv
